version,loader,backend,object,direction,minimum_mode,accessor,thread_context_rule,owner,invalidation,close_behavior,test_id,unsupported_reason,neoform_origin,source_origin,manifest_sha256,generated_sources_sha256,signature_set_sha256,origin_artifact,origin_sha256,delta_profile,delta_profile_sha256
MC26.1.2,Fabric,opengl,texture,MINECRAFT_TO_LUMIN,BORROWED_ZERO_COPY,native-texture-handle,exact-context-owner-render-thread-current-GLCapabilities-currentContextCheck,BORROWED,owner-token-invalidates-lease,idempotent-close-never-destroys-native,bridge-MC26.1.2-Fabric-opengl-texture-MINECRAFT_TO_LUMIN,,26.1.2-1,loom-mojang-sources,f5ba20713963db05c337a3fee26291b6f45728f04259520b2a805cdeb65c9e03,a85a9b77f4946f753ed64867492749bd8b21247e86682caddd1ae43ed12a49c2,4f7322d60daea68f820c263b3dcabe9600324582906fc30f27d30b400b178c50,net.neoforged:neoform:26.1.2-1@zip,3eb9f8cc282badfbc210a27a8304f14cc58fa40401a94072874dfaded3c8cb52,vanilla-26.1.2-to-26.2-v1,f9dc86cf5fd32eecfcde50418711f002085122219a4258db121de678b3609677
MC26.1.2,Fabric,opengl,texture,LUMIN_TO_MINECRAFT,BORROWED_ZERO_COPY,native-texture-handle,exact-context-owner-render-thread-current-GLCapabilities-currentContextCheck,BORROWED,owner-token-invalidates-lease,idempotent-close-never-destroys-native,bridge-MC26.1.2-Fabric-opengl-texture-LUMIN_TO_MINECRAFT,,26.1.2-1,loom-mojang-sources,f5ba20713963db05c337a3fee26291b6f45728f04259520b2a805cdeb65c9e03,a85a9b77f4946f753ed64867492749bd8b21247e86682caddd1ae43ed12a49c2,4f7322d60daea68f820c263b3dcabe9600324582906fc30f27d30b400b178c50,net.neoforged:neoform:26.1.2-1@zip,3eb9f8cc282badfbc210a27a8304f14cc58fa40401a94072874dfaded3c8cb52,vanilla-26.1.2-to-26.2-v1,f9dc86cf5fd32eecfcde50418711f002085122219a4258db121de678b3609677
MC26.1.2,Fabric,opengl,buffer,MINECRAFT_TO_LUMIN,BORROWED_ZERO_COPY,native-buffer-handle,exact-context-owner-render-thread-current-GLCapabilities-currentContextCheck,BORROWED,owner-token-invalidates-lease,idempotent-close-never-destroys-native,bridge-MC26.1.2-Fabric-opengl-buffer-MINECRAFT_TO_LUMIN,,26.1.2-1,loom-mojang-sources,f5ba20713963db05c337a3fee26291b6f45728f04259520b2a805cdeb65c9e03,a85a9b77f4946f753ed64867492749bd8b21247e86682caddd1ae43ed12a49c2,4f7322d60daea68f820c263b3dcabe9600324582906fc30f27d30b400b178c50,net.neoforged:neoform:26.1.2-1@zip,3eb9f8cc282badfbc210a27a8304f14cc58fa40401a94072874dfaded3c8cb52,vanilla-26.1.2-to-26.2-v1,f9dc86cf5fd32eecfcde50418711f002085122219a4258db121de678b3609677
MC26.1.2,Fabric,opengl,buffer,LUMIN_TO_MINECRAFT,BORROWED_ZERO_COPY,native-buffer-handle,exact-context-owner-render-thread-current-GLCapabilities-currentContextCheck,BORROWED,owner-token-invalidates-lease,idempotent-close-never-destroys-native,bridge-MC26.1.2-Fabric-opengl-buffer-LUMIN_TO_MINECRAFT,,26.1.2-1,loom-mojang-sources,f5ba20713963db05c337a3fee26291b6f45728f04259520b2a805cdeb65c9e03,a85a9b77f4946f753ed64867492749bd8b21247e86682caddd1ae43ed12a49c2,4f7322d60daea68f820c263b3dcabe9600324582906fc30f27d30b400b178c50,net.neoforged:neoform:26.1.2-1@zip,3eb9f8cc282badfbc210a27a8304f14cc58fa40401a94072874dfaded3c8cb52,vanilla-26.1.2-to-26.2-v1,f9dc86cf5fd32eecfcde50418711f002085122219a4258db121de678b3609677
MC26.1.2,Fabric,opengl,shader-module,MINECRAFT_TO_LUMIN,BORROWED_ZERO_COPY,native-shader-module-handle,exact-context-owner-render-thread-current-GLCapabilities-currentContextCheck,BORROWED,owner-token-invalidates-lease,idempotent-close-never-destroys-native,bridge-MC26.1.2-Fabric-opengl-shader-module-MINECRAFT_TO_LUMIN,,26.1.2-1,loom-mojang-sources,f5ba20713963db05c337a3fee26291b6f45728f04259520b2a805cdeb65c9e03,a85a9b77f4946f753ed64867492749bd8b21247e86682caddd1ae43ed12a49c2,4f7322d60daea68f820c263b3dcabe9600324582906fc30f27d30b400b178c50,net.neoforged:neoform:26.1.2-1@zip,3eb9f8cc282badfbc210a27a8304f14cc58fa40401a94072874dfaded3c8cb52,vanilla-26.1.2-to-26.2-v1,f9dc86cf5fd32eecfcde50418711f002085122219a4258db121de678b3609677
MC26.1.2,Fabric,opengl,shader-module,LUMIN_TO_MINECRAFT,BORROWED_ZERO_COPY,native-shader-module-handle,exact-context-owner-render-thread-current-GLCapabilities-currentContextCheck,BORROWED,owner-token-invalidates-lease,idempotent-close-never-destroys-native,bridge-MC26.1.2-Fabric-opengl-shader-module-LUMIN_TO_MINECRAFT,,26.1.2-1,loom-mojang-sources,f5ba20713963db05c337a3fee26291b6f45728f04259520b2a805cdeb65c9e03,a85a9b77f4946f753ed64867492749bd8b21247e86682caddd1ae43ed12a49c2,4f7322d60daea68f820c263b3dcabe9600324582906fc30f27d30b400b178c50,net.neoforged:neoform:26.1.2-1@zip,3eb9f8cc282badfbc210a27a8304f14cc58fa40401a94072874dfaded3c8cb52,vanilla-26.1.2-to-26.2-v1,f9dc86cf5fd32eecfcde50418711f002085122219a4258db121de678b3609677
MC26.1.2,Fabric,opengl,sampler,MINECRAFT_TO_LUMIN,REBUILT,shape-sampler-descriptor,source-access-on-exact-context-owner-render-thread,OWNED,source-token-invalidates-rebuild-input,idempotent-close-destroys-rebuilt-once,bridge-MC26.1.2-Fabric-opengl-sampler-MINECRAFT_TO_LUMIN,,26.1.2-1,loom-mojang-sources,f5ba20713963db05c337a3fee26291b6f45728f04259520b2a805cdeb65c9e03,a85a9b77f4946f753ed64867492749bd8b21247e86682caddd1ae43ed12a49c2,4f7322d60daea68f820c263b3dcabe9600324582906fc30f27d30b400b178c50,net.neoforged:neoform:26.1.2-1@zip,3eb9f8cc282badfbc210a27a8304f14cc58fa40401a94072874dfaded3c8cb52,vanilla-26.1.2-to-26.2-v1,f9dc86cf5fd32eecfcde50418711f002085122219a4258db121de678b3609677
MC26.1.2,Fabric,opengl,sampler,LUMIN_TO_MINECRAFT,REBUILT,shape-sampler-descriptor,source-access-on-exact-context-owner-render-thread,OWNED,source-token-invalidates-rebuild-input,idempotent-close-destroys-rebuilt-once,bridge-MC26.1.2-Fabric-opengl-sampler-LUMIN_TO_MINECRAFT,,26.1.2-1,loom-mojang-sources,f5ba20713963db05c337a3fee26291b6f45728f04259520b2a805cdeb65c9e03,a85a9b77f4946f753ed64867492749bd8b21247e86682caddd1ae43ed12a49c2,4f7322d60daea68f820c263b3dcabe9600324582906fc30f27d30b400b178c50,net.neoforged:neoform:26.1.2-1@zip,3eb9f8cc282badfbc210a27a8304f14cc58fa40401a94072874dfaded3c8cb52,vanilla-26.1.2-to-26.2-v1,f9dc86cf5fd32eecfcde50418711f002085122219a4258db121de678b3609677
MC26.1.2,Fabric,opengl,pipeline,MINECRAFT_TO_LUMIN,REBUILT,shape-pipeline-descriptor,source-access-on-exact-context-owner-render-thread,OWNED,source-token-invalidates-rebuild-input,idempotent-close-destroys-rebuilt-once,bridge-MC26.1.2-Fabric-opengl-pipeline-MINECRAFT_TO_LUMIN,,26.1.2-1,loom-mojang-sources,f5ba20713963db05c337a3fee26291b6f45728f04259520b2a805cdeb65c9e03,a85a9b77f4946f753ed64867492749bd8b21247e86682caddd1ae43ed12a49c2,4f7322d60daea68f820c263b3dcabe9600324582906fc30f27d30b400b178c50,net.neoforged:neoform:26.1.2-1@zip,3eb9f8cc282badfbc210a27a8304f14cc58fa40401a94072874dfaded3c8cb52,vanilla-26.1.2-to-26.2-v1,f9dc86cf5fd32eecfcde50418711f002085122219a4258db121de678b3609677
MC26.1.2,Fabric,opengl,pipeline,LUMIN_TO_MINECRAFT,REBUILT,shape-pipeline-descriptor,source-access-on-exact-context-owner-render-thread,OWNED,source-token-invalidates-rebuild-input,idempotent-close-destroys-rebuilt-once,bridge-MC26.1.2-Fabric-opengl-pipeline-LUMIN_TO_MINECRAFT,,26.1.2-1,loom-mojang-sources,f5ba20713963db05c337a3fee26291b6f45728f04259520b2a805cdeb65c9e03,a85a9b77f4946f753ed64867492749bd8b21247e86682caddd1ae43ed12a49c2,4f7322d60daea68f820c263b3dcabe9600324582906fc30f27d30b400b178c50,net.neoforged:neoform:26.1.2-1@zip,3eb9f8cc282badfbc210a27a8304f14cc58fa40401a94072874dfaded3c8cb52,vanilla-26.1.2-to-26.2-v1,f9dc86cf5fd32eecfcde50418711f002085122219a4258db121de678b3609677
